country,target_iso3,analysis_scope,n_mentions,n_speeches,n_speakers,first_year,last_year,mean_concreteness,mean_sentiment
HUN,BIH,reciprocal_asymmetry_candidate,25,22,15,2015,2021,3.24748,2.0756399804353713
AUT,ESP,reciprocal_asymmetry_candidate,25,20,14,2015,2020,3.2837599999999996,1.8024000117182732
AUT,HRV,reciprocal_asymmetry_candidate,25,21,18,2015,2022,3.25064,2.1087200112640856
NLD,CZE,reciprocal_asymmetry_candidate,25,23,19,2015,2022,3.29016,2.2623999889940025
NLD,PRT,reciprocal_asymmetry_candidate,25,18,13,2015,2021,3.2695999999999996,2.228760006427765
CZE,ESP,reciprocal_asymmetry_candidate,24,19,13,2015,2022,3.2485416666666667,2.282666671827125
BIH,GRC,reciprocal_asymmetry_candidate,24,14,10,2015,2022,3.219708333333333,1.1077916782038908
BEL,FIN,reciprocal_asymmetry_candidate,24,20,14,2015,2022,3.2534166666666664,2.189000017940998
POL,AUT,reciprocal_asymmetry_candidate,24,21,18,2016,2022,3.2710833333333333,2.514958344399929
HUN,BEL,reciprocal_asymmetry_candidate,24,22,20,2015,2022,3.201875,1.4907083169867594
FRA,BEL,reciprocal_asymmetry_candidate,24,22,17,2017,2021,3.266541666666667,1.250124990940094
CZE,HRV,reciprocal_asymmetry_candidate,23,20,12,2015,2022,3.2516956521739133,2.103695643984753
NLD,SRB,reciprocal_asymmetry_candidate,23,19,11,2015,2017,3.2858695652173915,2.382956546933755
EST,NLD,reciprocal_asymmetry_candidate,23,21,12,2015,2022,3.249,1.939695650468702
ITA,SVN,reciprocal_asymmetry_candidate,22,17,15,2013,2020,3.2661363636363636,2.4647727568041193
BGR,NLD,reciprocal_asymmetry_candidate,22,13,11,2015,2019,3.2572727272727273,1.7214999849146062
EST,CZE,reciprocal_asymmetry_candidate,22,20,10,2015,2022,3.2817272727272733,1.2458636425435543
ESP,POL,reciprocal_asymmetry_candidate,21,20,18,2015,2022,3.223809523809524,1.8127142630872273
PRT,AUT,reciprocal_asymmetry_candidate,21,16,11,2015,2021,3.1716190476190476,1.6920000241980666
NLD,SVN,reciprocal_asymmetry_candidate,21,19,12,2015,2022,3.268904761904762,2.384428550799688
EST,ESP,reciprocal_asymmetry_candidate,21,15,12,2015,2022,3.2938095238095237,1.627523816767193
NLD,FIN,reciprocal_asymmetry_candidate,21,21,16,2015,2022,3.246666666666667,2.460666687715621
