country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
HRV,ALB,2018,external_target_salience,7,6,6,3.2342857142857144,2.1909999634538377
HRV,ALB,2019,external_target_salience,5,5,5,3.2342,0.8238000113517046
HRV,ALB,2020,external_target_salience,8,7,5,3.215,2.0018749779555947
HUN,ALB,2015,external_target_salience,4,3,3,3.27475,0.9089999943971634
HUN,ALB,2016,external_target_salience,1,1,1,3.2,1.4019999504089355
HUN,ALB,2017,external_target_salience,2,2,2,3.1980000000000004,0.33149999380111694
HUN,ALB,2018,external_target_salience,5,5,5,3.2518000000000002,1.9084000051021577
ISL,ALB,2015,external_target_salience,2,1,1,3.3045,3.3174999952316284
ISL,ALB,2016,external_target_salience,3,3,3,3.2279999999999998,2.350333313147227
ISL,ALB,2017,external_target_salience,4,3,3,3.207,2.5454999804496765
ISL,ALB,2019,external_target_salience,2,2,2,3.1975,0.4854999929666519
ISL,ALB,2020,external_target_salience,5,4,3,3.226,1.0266000002622604
ISL,ALB,2021,external_target_salience,7,6,1,3.250571428571429,1.4815714274133955
ISL,ALB,2022,external_target_salience,2,1,1,3.224,2.3660000562667847
ITA,ALB,2014,external_target_salience,4,3,3,3.25175,0.9100000038743019
ITA,ALB,2015,external_target_salience,3,2,2,3.3336666666666672,1.6043333262205124
ITA,ALB,2017,external_target_salience,6,5,5,3.205166666666667,1.9384999958177407
ITA,ALB,2020,external_target_salience,2,2,2,3.201,0.2979999929666519
LVA,ALB,2020,external_target_salience,1,1,1,3.249,0.2549999952316284
NLD,ALB,2015,external_target_salience,3,3,3,3.236666666666667,1.752333328127861
NLD,ALB,2016,external_target_salience,9,8,5,3.266,2.393777777751287
NLD,ALB,2017,external_target_salience,3,2,1,3.267666666666667,1.8230000336964924
NLD,ALB,2018,external_target_salience,19,14,9,3.2712105263157896,1.552999978002749
NLD,ALB,2019,external_target_salience,31,17,13,3.2955161290322583,2.427000004437662
NLD,ALB,2021,external_target_salience,1,1,1,3.251,2.2990000247955322
POL,ALB,2017,external_target_salience,2,1,1,3.5300000000000002,3.328499913215637
PRT,ALB,2022,external_target_salience,1,1,1,3.19,0.23600000143051147
SRB,ALB,2017,external_target_salience,1,1,1,3.303,4.855000019073486
SRB,ALB,2018,external_target_salience,7,4,4,3.2137142857142855,2.0005714116351947
SRB,ALB,2019,external_target_salience,14,7,7,3.237357142857143,1.365428576245904
SRB,ALB,2020,external_target_salience,11,3,3,3.3645454545454543,3.5015454928983343
SRB,ALB,2021,external_target_salience,17,12,11,3.2306470588235294,3.1282941218027296
SVN,ALB,2015,external_target_salience,3,3,3,3.2343333333333333,1.1813333531220753
SVN,ALB,2016,external_target_salience,4,3,3,3.25975,2.3624999821186066
SVN,ALB,2017,external_target_salience,3,3,3,3.223333333333333,1.3739999930063884
SVN,ALB,2018,external_target_salience,2,2,1,3.239,2.225499987602234
SVN,ALB,2019,external_target_salience,3,2,1,3.3153333333333332,2.6163333654403687
SVN,ALB,2021,external_target_salience,1,1,1,3.226,0.531000018119812
SWE,ALB,2017,external_target_salience,1,1,1,3.181,1.1959999799728394
SWE,ALB,2021,external_target_salience,1,1,1,3.162,0.04699999839067459
TUR,ALB,2019,external_target_salience,1,1,1,3.228,2.9730000495910645
TUR,ALB,2022,external_target_salience,1,1,1,3.275,4.326000213623047
PRT,AND,2021,external_target_salience,1,1,1,3.232,2.4240000247955322
PRT,AND,2022,external_target_salience,2,2,2,3.3715,1.027999997138977
AUT,ARE,2015,external_target_salience,4,4,3,3.4057500000000003,1.2905000019818544
BEL,ARE,2017,external_target_salience,2,2,2,3.331,2.4885001182556152
BEL,ARE,2019,external_target_salience,2,2,1,3.3485,0.939499981701374
BGR,ARE,2015,external_target_salience,2,2,2,3.2005,0.8389999866485596
BIH,ARE,2021,external_target_salience,1,1,1,3.405,0.5249999761581421
BIH,ARE,2022,external_target_salience,1,1,1,3.279,4.210000038146973
CZE,ARE,2015,external_target_salience,2,2,2,3.316,2.1590000689029694
EST,ARE,2020,external_target_salience,3,2,2,3.41,2.795666734377543
FRA,ARE,2018,external_target_salience,1,1,1,3.236,-0.004000000189989805
GRC,ARE,2015,external_target_salience,2,2,2,3.2895000000000003,2.03099999576807
GRC,ARE,2019,external_target_salience,1,1,1,3.435,0.26499998569488525
GRC,ARE,2020,external_target_salience,5,2,2,3.3287999999999998,4.363200092315674
HRV,ARE,2020,external_target_salience,1,1,1,3.279,1.3530000448226929
LVA,ARE,2017,external_target_salience,2,2,1,3.3715,1.928000032901764
LVA,ARE,2018,external_target_salience,1,1,1,3.331,1.5950000286102295
LVA,ARE,2019,external_target_salience,1,1,1,3.538,2.002000093460083
NLD,ARE,2015,external_target_salience,4,4,3,3.4307499999999997,1.2534999996423721
NLD,ARE,2016,external_target_salience,1,1,1,3.445,1.5
NLD,ARE,2018,external_target_salience,1,1,1,3.425,2.121999979019165
NLD,ARE,2021,external_target_salience,1,1,1,3.467,3.0290000438690186
NLD,ARE,2022,external_target_salience,1,1,1,3.435,2.0420000553131104
POL,ARE,2016,external_target_salience,1,1,1,3.408,0.23399999737739563
POL,ARE,2017,external_target_salience,1,1,1,3.295,3.109999895095825
SRB,ARE,2017,external_target_salience,1,1,1,3.298,3.0969998836517334
SVN,ARE,2015,external_target_salience,1,1,1,3.435,0.925000011920929
SWE,ARE,2018,external_target_salience,1,1,1,3.386,0.18299999833106995
SWE,ARE,2022,external_target_salience,2,1,1,3.46,0.476500004529953
TUR,ARE,2016,external_target_salience,1,1,1,3.265,0.5920000076293945
TUR,ARE,2019,external_target_salience,2,2,2,3.2805,0.42149998620152473
TUR,ARE,2021,external_target_salience,2,2,2,3.48,0.4169999957084656
TUR,ARE,2022,external_target_salience,1,1,1,3.317,0.5690000057220459
BEL,ARG,2020,external_target_salience,1,1,1,3.156,3.7960000038146973
BEL,ARG,2021,external_target_salience,1,1,1,3.236,2.5850000381469727
ESP,ARG,2016,external_target_salience,1,1,1,3.2,1.7549999952316284
ESP,ARG,2018,external_target_salience,4,4,4,3.216,2.030500054359436
EST,ARG,2018,external_target_salience,4,2,2,3.22825,1.584250032901764
EST,ARG,2019,external_target_salience,1,1,1,3.228,0.09399999678134918
FRA,ARG,2018,external_target_salience,1,1,1,3.235,0.12800000607967377
HRV,ARG,2017,external_target_salience,4,3,2,3.253,0.9037499877158552
HRV,ARG,2019,external_target_salience,3,3,2,3.1643333333333334,0.5603333314259847
HRV,ARG,2020,external_target_salience,2,1,1,3.252,0.09700000286102295
HRV,ARG,2021,external_target_salience,4,4,4,3.2225,1.5867500007152557
HUN,ARG,2015,external_target_salience,1,1,1,3.246,2.1760001182556152
HUN,ARG,2016,external_target_salience,1,1,1,3.215,3.0880000591278076
HUN,ARG,2018,external_target_salience,1,1,1,3.24,0.33000001311302185
HUN,ARG,2019,external_target_salience,9,6,6,3.246,3.212777723868688
ITA,ARG,2013,external_target_salience,2,1,1,3.3145,1.710500031709671
ITA,ARG,2014,external_target_salience,3,1,1,3.2536666666666663,1.315333337833484
ITA,ARG,2015,external_target_salience,1,1,1,3.2,0.7369999885559082
ITA,ARG,2017,external_target_salience,2,2,1,3.2649999999999997,0.8160000145435333
LVA,ARG,2018,external_target_salience,1,1,1,3.255,0.5239999890327454
NLD,ARG,2016,external_target_salience,2,2,2,3.269,1.5624999701976776
NLD,ARG,2021,external_target_salience,1,1,1,3.269,0.2930000126361847
NOR,ARG,2017,external_target_salience,1,1,1,3.252,1.1200000047683716
POL,ARG,2016,external_target_salience,1,1,1,3.238,4.501999855041504
POL,ARG,2019,external_target_salience,2,2,2,3.286,3.0110000371932983
POL,ARG,2020,external_target_salience,8,2,2,3.2515,2.4811249999329448
PRT,ARG,2017,external_target_salience,1,1,1,3.158,0.7850000262260437
PRT,ARG,2022,external_target_salience,1,1,1,3.184,2.9119999408721924
SRB,ARG,2021,external_target_salience,3,2,2,3.252333333333333,2.105999926726023
SVN,ARG,2016,external_target_salience,1,1,1,3.298,0.7789999842643738
SVN,ARG,2018,external_target_salience,3,2,2,3.284333333333333,2.7703332901000977
SVN,ARG,2021,external_target_salience,1,1,1,3.222,1.684999942779541
SWE,ARG,2021,external_target_salience,1,1,1,3.239,1.1410000324249268
TUR,ARG,2017,external_target_salience,1,1,1,3.212,0.23000000417232513
TUR,ARG,2019,external_target_salience,1,1,1,3.259,3.1649999618530273
AUT,ARM,2015,external_target_salience,1,1,1,3.214,3.9579999446868896
AUT,ARM,2016,external_target_salience,1,1,1,3.221,2.9049999713897705
AUT,ARM,2021,external_target_salience,1,1,1,3.179,2.7920000553131104
BEL,ARM,2015,external_target_salience,4,3,3,3.22825,1.3717499673366547
BEL,ARM,2017,external_target_salience,3,3,3,3.2983333333333333,1.5990000665187836
BEL,ARM,2018,external_target_salience,2,1,1,3.2975,2.1415000557899475
BEL,ARM,2019,external_target_salience,2,2,2,3.3920000000000003,1.1149999836925417
BEL,ARM,2020,external_target_salience,3,3,3,3.1873333333333336,0.23466666291157404
BGR,ARM,2018,external_target_salience,5,2,2,3.1322,3.758999967575073
CZE,ARM,2016,external_target_salience,3,3,3,3.2556666666666665,1.469000013001884
CZE,ARM,2018,external_target_salience,2,2,1,3.2409999999999997,2.5939999679103494
